TreatmentPhragmites,Site,Sites,Transect,Code,Phragmites,Grasses,Solidago_altissima,Vicia_sativa,Vicia_tetrasperma,Taraxacum_officinale,Rosa _multiflora,Ranunculus_bulbosus,Ranunculus_glaberrimus,Pyrus_calleryana,Berberis_thunbergii,Lonicera_japonica,Rumex_obtusifolius,Clematis,Plantago_major,Lamium_purpureum,Sambucus_canadensis,Typha_latifolia,Rubus_flagellaris,Setaria_parviflora,Smilax_bona-nox,Cornus_alba,Camex,Prunus_serotina,Quercus_nigra,Quercus_phellos,Ligustrum_sinense,Juniperus_virginiana,Juncus_sp,Verbena_urticifolia,Lespedeza_virginica,Ludwigia_peploides,Calla_palustris,Iris_virginica,Ilex_opaca,Carya_cordiformis,Geranium_carolinianum,Cyclospermum_leptophyllum,Veronica_sp,Lepidium_didymum,Valerianella_locusta,Pontederia_cordata,Arabidopsis_thaliana,Syngonium_sp,Limnobium_laevigatum,Cerastium_glomeratum,Andropogon_virginicus,Rhamnus_catharticus,Monarda_fistulosa,Asclepias_syriaca,Salicornia_virginica,Goeppertia_insignis,Baccharis_halimifolia,Eryngium_yuccifolium,Cupressus_sp,Celtis,Rhamnus_cathartica,Ulmus_sp,Hedera_sp,Myrica_sp,Onoclea_sensibilis,Nyssa_sp,Lemna_minor,Sagittaria_latifolia,Pittosporum_tobira
Absent,Brock Commons A,BCA,t1,AbsentBCAT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absent,Brock Commons A,BCA,t2,AbsentBCAT2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absent,Brock Commons A,BCA,t3,AbsentBCAT3,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absent,Brock Commons A,BCA,t4,AbsentBCAT4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absent,Brock Commons A,BCA,t5,AbsentBCAT5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absent,Brock Commons A,BCA,t6,AbsentBCAT6,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absent,Brock Commons B,BCB,t1,AbsentBCBT1,0,5,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absent,Brock Commons B,BCB,t2,AbsentBCBT2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absent,Brock Commons B,BCB,t3,AbsentBCBT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Absent,Brock Commons B,BCB,t4,AbsentBCBT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
